,time,value
0,00-00-00,0
1,00-30-00,2
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,2
15,07-30-00,7
16,08-00-00,43
17,08-30-00,13
18,09-00-00,1
19,09-30-00,5
20,10-00-00,7
21,10-30-00,14
22,11-00-00,11
23,11-30-00,3
24,12-00-00,34
25,12-30-00,9
26,13-00-00,7
27,13-30-00,4
28,14-00-00,4
29,14-30-00,8
30,15-00-00,15
31,15-30-00,14
32,16-00-00,7
33,16-30-00,6
34,17-00-00,12
35,17-30-00,10
36,18-00-00,9
37,18-30-00,4
38,19-00-00,3
39,19-30-00,3
40,20-00-00,8
41,20-30-00,2
42,21-00-00,2
43,21-30-00,1
44,22-00-00,5
45,22-30-00,2
46,23-00-00,10
47,23-30-00,1
